,pre-arch,pre-db,pre-layer,pre-fsize,eeg-arch,eeg-sampling,instance,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,avg
0,ViT-B-16,laion2b_s34b_b88k,visual,512,atm,concept,0,0.095,0.09,0.0625,0.11,0.07250000000000001,0.075,0.0675,0.09,0.055,0.165,0.08825000000000002
1,ViT-B-16,laion2b_s34b_b88k,visual,512,atm,image,0,0.0925,0.0625,0.0625,0.07,0.0325,0.05,0.065,0.07,0.05,0.0825,0.06375
2,ViT-B-16,laion400m_e31,visual-language,1024,atm,concept,0,0.1,0.0925,0.07,0.10250000000000001,0.0625,0.07250000000000001,0.07250000000000001,0.07,0.08499999999999999,0.14250000000000002,0.08700000000000001
3,ViT-B-16,laion400m_e31,visual-language,1024,nice,concept,0,0.0975,0.0975,0.07500000000000001,0.0825,0.045,0.08499999999999999,0.052500000000000005,0.065,0.0875,0.14500000000000002,0.08325000000000002
4,ViT-B-16,laion400m_e31,visual,512,atm,concept,0,0.10250000000000001,0.09,0.07500000000000001,0.07500000000000001,0.09,0.07500000000000001,0.08249999999999999,0.07250000000000001,0.057499999999999996,0.16,0.08800000000000001
5,ViT-B-16,laion400m_e31,visual,512,atm,image,0,0.0925,0.0625,0.07,0.065,0.0775,0.06,0.065,0.0575,0.055,0.10250000000000001,0.07075000000000001
6,ViT-B-16,laion400m_e31,visual,512,nice,concept,0,0.0975,0.0975,0.07,0.08499999999999999,0.0525,0.065,0.055,0.0675,0.07750000000000001,0.14500000000000002,0.08125
7,ViT-B-16,laion400m_e31,visual,512,nice,image,0,0.1,0.07,0.0675,0.07,0.055,0.08249999999999999,0.05,0.055,0.085,0.125,0.076
8,ViT-B-16,openai,visual,512,atm,concept,0,0.07,0.1275,0.07,0.0825,0.0625,0.07500000000000001,0.0575,0.0625,0.0475,0.115,0.077
9,ViT-B-16,openai,visual,512,atm,image,0,0.0975,0.07750000000000001,0.052500000000000005,0.05500000000000001,0.0225,0.0625,0.0675,0.0625,0.052500000000000005,0.08,0.063
10,ViT-B-32,laion400m_e31,visual-language,1024,atm,concept,0,0.0925,0.115,0.06,0.0975,0.0575,0.0875,0.06,0.07,0.075,0.1375,0.08525
11,ViT-B-32,laion400m_e31,visual-language,1024,atm,image,0,0.08,0.07500000000000001,0.05500000000000001,0.095,0.022500000000000003,0.0475,0.06,0.055,0.0575,0.09,0.06375
12,ViT-B-32,laion400m_e31,visual-language,1024,nice,concept,0,0.0925,0.09,0.0625,0.1,0.0475,0.095,0.05,0.065,0.065,0.1325,0.08
13,ViT-B-32,laion400m_e31,visual-language,1024,nice,image,0,0.0775,0.08499999999999999,0.07500000000000001,0.07,0.055,0.0675,0.0425,0.07,0.0775,0.11,0.073
14,ViT-B-32,laion400m_e31,visual,512,atm,concept,0,0.1125,0.1,0.07,0.0925,0.07250000000000001,0.0775,0.075,0.08,0.07,0.15000000000000002,0.09
15,ViT-B-32,laion400m_e31,visual,512,atm,image,0,0.0725,0.08,0.06,0.07,0.0325,0.05,0.07250000000000001,0.08249999999999999,0.07250000000000001,0.1,0.06925
16,ViT-B-32,laion400m_e31,visual,512,nice,concept,0,0.0925,0.0975,0.075,0.0775,0.065,0.08,0.0575,0.065,0.0575,0.14,0.08075000000000002
17,ViT-B-32,laion400m_e31,visual,512,nice,image,0,0.0875,0.08249999999999999,0.0675,0.0625,0.045,0.07500000000000001,0.0475,0.0575,0.08249999999999999,0.10750000000000001,0.07150000000000001
18,ViT-H-14,laion2b_s32b_b79k,visual-language,2048,atm,concept,0,0.09,0.11,0.0575,0.1,0.09,0.08249999999999999,0.095,0.0875,0.07500000000000001,0.14,0.09275000000000001
19,ViT-H-14,laion2b_s32b_b79k,visual-language,2048,atm,image,0,0.0625,0.065,0.042499999999999996,0.0675,0.0325,0.065,0.045,0.065,0.06,0.0775,0.05825
20,ViT-H-14,laion2b_s32b_b79k,visual-language,2048,nice,image,0,0.0725,0.0775,0.07250000000000001,0.0675,0.0575,0.08499999999999999,0.035,0.042499999999999996,0.06,0.11249999999999999,0.06825
21,ViT-H-14,laion2b_s32b_b79k,visual,1024,atm,concept,0,0.0825,0.105,0.065,0.0875,0.0875,0.06,0.07500000000000001,0.0725,0.0675,0.135,0.08375
22,ViT-H-14,laion2b_s32b_b79k,visual,1024,nice,concept,0,0.1,0.1,0.07,0.07,0.0625,0.0875,0.065,0.075,0.06,0.1475,0.08375000000000002
23,ViT-H-14,laion2b_s32b_b79k,visual,1024,nice,image,0,0.0775,0.08,0.0575,0.055,0.07250000000000001,0.0875,0.060000000000000005,0.0625,0.060000000000000005,0.095,0.07075000000000001
24,ViT-L-14,clip,visual-language,1536,atm,image,0,0.07500000000000001,0.0575,0.0475,0.07,0.0325,0.052500000000000005,0.0475,0.08,0.057499999999999996,0.09,0.061
25,ViT-L-14,clip,visual-language,1536,nice,concept,0,0.0775,0.0975,0.06,0.0875,0.0575,0.060000000000000005,0.045,0.0625,0.065,0.125,0.07375000000000001
26,ViT-L-14,clip,visual-language,1536,nice,image,0,0.0825,0.0775,0.0575,0.0675,0.055,0.0625,0.055,0.0575,0.0575,0.1325,0.07050000000000001
27,ViT-L-14,clip,visual,768,atm,concept,0,0.0825,0.1,0.0625,0.10500000000000001,0.06,0.0675,0.065,0.07500000000000001,0.05500000000000001,0.11750000000000001,0.079
28,ViT-L-14,clip,visual,768,atm,image,0,0.060000000000000005,0.07,0.05,0.065,0.042499999999999996,0.045,0.060000000000000005,0.0675,0.0525,0.08499999999999999,0.05974999999999999
29,ViT-L-14,clip,visual,768,nice,concept,0,0.07250000000000001,0.08499999999999999,0.060000000000000005,0.08499999999999999,0.0625,0.07,0.05,0.0575,0.055,0.125,0.07225000000000001
30,ViT-L-14,clip,visual,768,nice,image,0,0.0725,0.07,0.0575,0.0625,0.05,0.07250000000000001,0.05,0.065,0.065,0.10500000000000001,0.06699999999999999
