,pre-arch,pre-db,pre-layer,pre-fsize,eeg-arch,eeg-sampling,instance,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,avg
0,EVA02-L-14-336,merged2b_s6b_b61k,visual,768,atm,concept_s,0,0.38749999999999996,0.425,0.45999999999999996,0.5225,0.375,0.45499999999999996,0.435,0.52,0.4425,0.485,0.45075000000000004
1,RN101,clip,block4,2048,atm,concept_s,0,0.5075000000000001,0.46499999999999997,0.48,0.5575,0.36250000000000004,0.5125,0.48250000000000004,0.5675,0.48,0.5425,0.49575000000000014
2,RN50-quickgelu,openai,visual,1024,atm,concept_s,0,0.47250000000000003,0.47250000000000003,0.45499999999999996,0.5874999999999999,0.3875,0.525,0.495,0.575,0.47250000000000003,0.525,0.49675
3,RN50,clip,block1,256,atm,concept_s,0,0.1575,0.14500000000000002,0.18,0.19,0.1625,0.1725,0.16999999999999998,0.185,0.16249999999999998,0.15000000000000002,0.16749999999999998
4,RN50,clip,block2,512,atm,concept_s,0,0.2525,0.22,0.27249999999999996,0.255,0.1925,0.23249999999999998,0.24,0.26749999999999996,0.21000000000000002,0.235,0.23775
5,RN50,clip,block3,1024,atm,concept_s,0,0.30500000000000005,0.34750000000000003,0.345,0.355,0.255,0.31499999999999995,0.365,0.3675,0.36,0.3325,0.33475
6,RN50,clip,block4,2048,atm,concept_s,0,0.4975,0.45499999999999996,0.48750000000000004,0.5625,0.3725,0.5025,0.49750000000000005,0.58,0.4925,0.55,0.49974999999999997
7,RN50,clip,visual,1024,atm,concept_s,0,0.5,0.47250000000000003,0.4925,0.5625,0.395,0.4775,0.4975,0.59,0.48250000000000004,0.54,0.501
8,RN50,openai,visual,1024,atm,image,0,0.44499999999999995,0.39,0.4125,0.4975,0.2675,0.4275,0.4475,0.5675,0.355,0.47750000000000004,0.42874999999999996
9,RN50,openai,visual,1024,atm,concept_s,0,0.4825,0.44499999999999995,0.48,0.575,0.385,0.5075000000000001,0.505,0.6,0.45999999999999996,0.54,0.49799999999999994
10,RN50,yfcc15m,visual,1024,atm,concept_s,0,0.46,0.4225,0.44,0.4975,0.375,0.4575,0.4375,0.5525,0.4625,0.4875,0.45925000000000005
11,RN50x64,clip,block4,4096,atm,concept_s,0,0.40249999999999997,0.39749999999999996,0.485,0.585,,,,,,,0.46749999999999997
12,ViT-B-16,laion2b_s34b_b88k,visual,512,atm,image,0,0.4175,0.4,0.485,0.5700000000000001,0.36250000000000004,0.4925,0.5275000000000001,0.5974999999999999,0.4575,0.47250000000000003,0.47825000000000006
13,ViT-B-16,laion2b_s34b_b88k,visual,512,atm,concept_s,0,0.45999999999999996,0.51,0.5375000000000001,0.5925,0.43000000000000005,0.56,0.5525,0.635,0.515,0.565,0.53575
14,ViT-B-16,laion400m_e31,language,512,atm,concept_s,0,0.405,0.415,0.42500000000000004,0.5375000000000001,0.36250000000000004,0.465,0.445,0.51,0.4275,0.47250000000000003,0.44650000000000006
15,ViT-B-16,laion400m_e31,visual-language,1024,atm,concept_s,0,0.5225,0.535,0.56,0.6125,0.4575,0.5725,0.545,0.6425000000000001,0.56,0.5675,0.5575
16,ViT-B-16,laion400m_e31,visual-language,1024,nice,concept_s,0,0.5375000000000001,0.4375,0.545,0.62,0.4625,0.5575,0.525,0.635,0.5125,0.5825,0.5415000000000001
17,ViT-B-16,laion400m_e31,visual,512,atm,image,0,0.485,0.41000000000000003,0.47,0.565,0.375,0.5,0.5774999999999999,0.645,0.45499999999999996,0.5225,0.5005
18,ViT-B-16,laion400m_e31,visual,512,atm,concept_s,0,0.515,0.52,0.545,0.61,0.4875,0.55,0.565,0.635,0.52,0.5800000000000001,0.55275
19,ViT-B-16,openai,visual,512,atm,image,0,0.375,0.30500000000000005,0.4125,0.46499999999999997,0.2625,0.4425,0.42500000000000004,0.5275000000000001,0.365,0.4625,0.40425000000000005
20,ViT-B-16,openai,visual,512,atm,concept_s,0,0.42500000000000004,0.4375,0.44499999999999995,0.5575,0.35750000000000004,0.46499999999999997,0.4925,0.5725,0.4875,0.545,0.47850000000000004
21,ViT-B-32,laion400m_e31,visual-language,1024,atm,concept_s,0,0.5125,0.525,0.575,0.6475,0.45499999999999996,0.58,0.575,0.665,0.5375000000000001,0.575,0.56475
22,ViT-B-32,laion400m_e31,visual,512,atm,image,0,0.4625,0.47,0.52,0.5674999999999999,0.3425,0.5325,0.5700000000000001,0.61,0.4425,0.5475000000000001,0.5065000000000001
23,ViT-B-32,laion400m_e31,visual,512,atm,concept_s,0,0.5175000000000001,0.5075000000000001,0.5575,0.615,0.445,0.565,0.5549999999999999,0.6475,0.52,0.5925,0.55225
24,ViT-B-32,openai,visual,512,atm,image,0,0.4125,0.35750000000000004,0.4325,0.49,0.2975,0.4,0.5025,0.5275000000000001,0.4225,0.495,0.43374999999999997
