,pre-arch,pre-db,pre-layer,pre-fsize,eeg-arch,eeg-sampling,instance,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,avg
25,ViT-B-32,openai,visual,512,atm,concept_s,0,0.44499999999999995,0.46499999999999997,0.47,0.58,0.37,0.5125,0.5225,0.5725,0.4575,0.515,0.49099999999999994
26,ViT-H-14-378-quickgelu,dfn5b,visual,1024,atm,concept_s,0,0.4775,0.46499999999999997,0.4975,0.5800000000000001,0.395,0.53,0.535,0.63,0.485,0.5575,0.51525
27,ViT-H-14,laion2b_s32b_b79k,language,1024,atm,image,0,0.34750000000000003,0.35,0.37,0.43,0.28500000000000003,0.37,0.4225,0.465,0.33999999999999997,0.38,0.376
28,ViT-H-14,laion2b_s32b_b79k,visual-language,2048,atm,image,0,0.4425,0.4175,0.5,0.5525,0.3625,0.47750000000000004,0.48,0.5874999999999999,0.4575,0.505,0.47824999999999995
29,ViT-H-14,laion2b_s32b_b79k,visual-language,2048,atm,concept_s,0,0.515,0.495,0.5525,0.61,0.4425,0.5475000000000001,0.505,0.635,0.525,0.5449999999999999,0.53725
30,ViT-H-14,laion2b_s32b_b79k,visual-language,2048,atm,concept_s,1,0.4975,0.51,0.5700000000000001,0.6225,0.4175,0.5325,0.5325,0.635,0.5275000000000001,0.56,0.5405
31,ViT-H-14,laion2b_s32b_b79k,visual-language,2048,nice,concept_s,0,0.4175,0.4175,0.4875,0.56,0.3775,0.51,0.475,0.595,0.47750000000000004,0.5375000000000001,0.48550000000000004
32,ViT-H-14,laion2b_s32b_b79k,visual,1024,atm,image,0,0.4225,0.4125,0.48,0.53,0.35,0.4525,0.4825,0.58,0.425,0.485,0.462
33,ViT-H-14,laion2b_s32b_b79k,visual,1024,atm,image,1,0.4475,0.42500000000000004,0.47,0.58,0.36250000000000004,0.45999999999999996,0.51,0.5675,0.41000000000000003,0.51,0.47424999999999995
34,ViT-H-14,laion2b_s32b_b79k,visual,1024,atm,concept_s,0,0.485,0.5125,0.55,0.6074999999999999,0.4425,0.5325,0.5225,0.6375,0.5075000000000001,0.56,0.53575
35,ViT-H-14,laion2b_s32b_b79k,visual,1024,nice,image,0,0.4275,0.435,0.5025,0.525,0.3725,0.45999999999999996,0.5125,0.565,0.475,0.5175000000000001,0.47924999999999995
36,ViT-H-14,laion2b_s32b_b79k,visual,1024,nice,concept_s,0,0.46499999999999997,0.4475,0.5325,0.5525,0.4225,0.535,0.5025,0.64,0.505,0.56,0.51625
37,ViT-L-14,clip,block23,2048,atm,concept_s,0,0.4375,0.45,,,,,,,,,0.44375
38,ViT-L-14,clip,visual-language,1536,atm,concept_s,0,0.425,0.4275,0.46499999999999997,0.5774999999999999,0.37,0.4975,0.5075000000000001,0.5675,0.45999999999999996,0.54,0.48375
39,ViT-L-14,clip,visual-language,1536,nice,concept_s,0,0.405,0.38,0.42000000000000004,0.475,0.36,0.45499999999999996,0.4075,0.5275000000000001,0.39749999999999996,0.4425,0.42700000000000005
40,ViT-L-14,clip,visual,768,atm,image,0,0.35,0.35,0.37,0.49250000000000005,0.255,0.355,0.445,0.485,0.385,0.44,0.39275
41,ViT-L-14,clip,visual,768,atm,concept_s,0,0.385,0.445,0.4375,0.5575,0.35750000000000004,0.4525,0.4575,0.52,0.47,0.515,0.45975
42,ViT-L-14,clip,visual,768,nice,image,0,0.3725,0.365,0.3975,0.4825,0.3275,0.435,0.42,0.5275000000000001,0.40249999999999997,0.435,0.4165
43,ViT-L-14,clip,visual,768,nice,concept_s,0,0.41000000000000003,0.39,0.455,0.53,0.33499999999999996,0.475,0.435,0.5525,0.45,0.52,0.45525000000000004
44,ViT-L-14,laion400m_e31,language,768,atm,image,0,0.3425,0.30500000000000005,0.38,0.4325,0.305,0.3775,0.455,0.475,0.31999999999999995,0.445,0.3837499999999999
45,ViT-L-14,laion400m_e31,language,768,atm,concept_s,0,0.42,0.415,0.41500000000000004,0.5375000000000001,0.40249999999999997,0.45,0.4625,0.5175000000000001,0.465,0.5075000000000001,0.45925000000000005
46,ViT-L-14,laion400m_e31,visual-language,1536,atm,image,0,0.4325,0.41000000000000003,0.4775,0.5425,0.36,0.44999999999999996,0.5225,0.5775,0.4675,0.505,0.47450000000000003
47,ViT-L-14,laion400m_e31,visual-language,1536,atm,concept_s,0,0.48250000000000004,0.4925,0.5125,0.595,0.4525,0.55,0.5075000000000001,0.605,0.525,0.5725,0.5295
48,ViT-L-14,laion400m_e31,visual,768,atm,image,0,0.425,0.39749999999999996,0.46499999999999997,0.5,0.35,0.475,0.515,0.595,0.45999999999999996,0.515,0.46975
49,ViT-L-14,laion400m_e31,visual,768,atm,concept_s,0,0.45499999999999996,0.45999999999999996,0.54,0.5675,0.4125,0.545,0.53,0.61,0.5425,0.5625,0.5225
50,ViT-L-14,laion400m_e32,visual-language,1536,atm,image,0,0.48,0.4475,0.47250000000000003,0.5325,0.4175,0.4675,0.5175000000000001,0.6025,0.475,0.485,0.48975
51,ViT-L-14,laion400m_e32,visual,768,atm,concept_s,0,0.4925,0.4675,0.5225,0.6,0.4275,0.535,0.51,0.63,0.5325,0.545,0.52625
52,ViT-L-14,openai,visual,768,atm,concept_s,0,0.4075,0.43,0.4575,0.565,0.375,0.47250000000000003,0.44499999999999995,0.5475000000000001,0.47,0.515,0.46849999999999997
53,ViT-SO400M-14-SigLIP,webli,visual,1152,atm,image,0,0.355,0.355,0.425,0.48,0.3125,0.4425,0.4425,0.515,0.4175,0.45,0.41949999999999993
54,ViT-bigG-14-CLIPA-336,datacomp1b,visual,1280,atm,image,0,0.385,0.3675,0.445,0.5025,0.3275,0.4225,0.475,0.5425,0.4125,0.45999999999999996,0.434
55,ViT-g-14,laion2b_s34b_b88k,visual,1024,atm,concept_s,0,0.48,0.505,0.505,0.5874999999999999,0.39,0.5075000000000001,0.5175000000000001,0.595,0.4925,0.56,0.514
56,alexnet,imagenet,fc,1000,atm,concept_s,0,0.44,0.45999999999999996,0.4925,0.495,0.37,0.4425,0.45499999999999996,0.485,0.45,0.505,0.45949999999999996
57,convnext_base_w,laion2b_s13b_b82k,visual,640,atm,image,0,0.4575,0.4225,0.49,0.5549999999999999,0.3575,0.485,0.5,0.5575,0.41000000000000003,0.5075000000000001,0.47425000000000006
58,convnext_base_w,laion2b_s13b_b82k,visual,640,atm,concept_s,0,0.485,0.505,0.5225,0.5974999999999999,0.3825,0.5325,0.5475000000000001,0.6525000000000001,0.5175000000000001,0.5575,0.53
59,regnet_y_128gf,imagenet,fc,1000,atm,concept_s,0,0.415,0.345,0.4,0.4675,0.3275,0.4175,0.4425,0.45999999999999996,0.39,0.445,0.41100000000000003
60,vit_h_14,imagenet,block23,1280,atm,concept_s,0,0.3625,0.4,0.42000000000000004,0.52,0.36250000000000004,0.445,0.46,0.515,0.445,0.46499999999999997,0.43950000000000006
61,vit_h_14,imagenet,fc,1000,atm,concept_s,0,0.35250000000000004,0.37,0.4075,0.4875,0.3325,0.405,0.4275,0.47750000000000004,0.39749999999999996,0.44,0.40975
